year,team_name,player_name,position,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Salberg,ss,3,11,1,2,0,0,0,0,0,1,2,8,0,.182
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Walters,cf,3,11,2,2,1,0,0,0,0,1,4,0,0,.182
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Moscrey,2b,3,9,2,4,0,0,1,0,0,2,4,10,0,.444
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Lewis,If,3,4,1,1,0,0,0,0,0,0,0,0,0,.260
1966,"NORTH PLATTE (NEB,) GULF OILEBIS (1-2)",Miller,p,1,2,0,0,0,0,0,0,1,0,0,3,0,.000
1966,ALBUQUERQUE (N.M.) WOODS (0-2),R. Page,88,2,4,1,1,0,0,0,0,1,0,1,1,1,.250
1966,ALBUQUERQUE (N.M.) WOODS (0-2),Coyne,rf,2,5,0,0,0,0,0,0,0,0,3,1,0,.000
1966,ALBUQUERQUE (N.M.) WOODS (0-2),Sawtelle,rf,1,1,0,0,0,0,0,0,0,0,0,0,0,.000
1966,ALBUQUERQUE (N.M.) WOODS (0-2),Ikleman,lb,1,1,0,0,0,0,0,0,0,0,4,0,1,.000
1966,ALBUQUERQUE (N.M.) WOODS (0-2),Serda,p,1,0,0,0,0,0,0,0,0,0,0,0,0,.000
1966,MEXICO (MO.) SPORTS (0-2),Woods,If,2,6,0,1,0,0,0,0,0,0,5,0,0,.200
1966,MEXICO (MO.) SPORTS (0-2),Price,2b,2,7,2,2,0,0,1,0,0,2,3,2,0,.286
1966,MEXICO (MO.) SPORTS (0-2),Jacobus,lb,2,7,1,3,0,0,0,0,0,2,10,0,0,.429
1966,MEXICO (MO.) SPORTS (0-2),Stroupe,ss,2,8,1,2,0,0,1,0,0,2,0,2,1,.260
1966,MEXICO (MO.) SPORTS (0-2),Uriarte,3b,2,8,0,1,0,0,0,0,1,0,3,4,0,.125
1966,MEXICO (MO.) SPORTS (0-2),Bechtold,c,2,7,0,0,0,0,0,0,0,0,18,2,0,.000
1966,MEXICO (MO.) SPORTS (0-2),McFarland,p,1,8,0,0,0,0,0,0,0,0,0,0,0,.000
1966,MEXICO (MO.) SPORTS (0-2),Cummins,If,1,2,0,1,0,0,0,0,0,0,4,0,1,.500
1966,YERRINGTON (NEV.) COPPER KINGS (0-2),Small,cf,2,6,1,0,0,0,0,0,0,0,1,0,0,.000
1966,YERRINGTON (NEV.) COPPER KINGS (0-2),Snyder,ss,2,3,0,0,0,0,0,0,0,0,1,1,2,.000
1966,YERRINGTON (NEV.) COPPER KINGS (0-2),J. Dallimore,c,2,4,0,0,0,0,0,0,0,0,12,0,0,.000
1966,YERRINGTON (NEV.) COPPER KINGS (0-2),Stephenson,p,1,0,0,0,0,0,0,0,0,0,0,0,0,.000
1966,YERRINGTON (NEV.) COPPER KINGS (0-2),McKinnon,rf,1,3,0,0,0,0,0,0,0,0,0,0,0,.000
1966,SAVAGEVILLE (VA.) RED SOX (0-2),Matthews,c,2,5,0,1,0,0,0,1,0,0,16,1,0,.200
1966,SAVAGEVILLE (VA.) RED SOX (0-2),Cropper,3b,2,5,0,2,0,0,0,0,0,0,5,2,1,.400
1966,KOKOMO (IND.) HIGHLANDERS (0-2),Lecklitner,c,2,9,1,2,0,0,0,0,0,0,15,1,1,.222
1966,KOKOMO (IND.) HIGHLANDERS (0-2),Harris,p,2,0,0,0,0,0,0,0,1,0,0,0,0,.000
1966,KOKOMO (IND.) HIGHLANDERS (0-2),Rutherford,2b,1,4,0,1,0,0,0,0,0,0,4,1,1,.260
1966,KOKOMO (IND.) HIGHLANDERS (0-2),S. Snyder,p,1,1,0,0,0,0,0,0,0,0,0,3,0,.000
1966,MIAMI (FLA.) DODGERS (0-2),Maloney,c,2,7,0,0,0,0,0,0,0,0,10,0,0,.000
1966,MIAMI (FLA.) DODGERS (0-2),A. Monteagudo,lf,2,6,0,0,0,0,0,0,0,0,2,0,0,.000
1966,MIAMI (FLA.) DODGERS (0-2),Baumgardner,p,2,1,0,0,0,0,0,0,0,0,0,1,1,.000
1966,MIAMI (FLA.) DODGERS (0-2),Serra,p,2,3,0,0,0,0,0,0,0,0,0,3,0,.000
1966,MIAMI (FLA.) DODGERS (0-2),Griffin,p,1,1,0,0,0,0,0,0,0,0,0,1,0,.000
