Year,SourcePDF,Team,Pitcher,G,W,L,IP,H,R,ER,BB,SO,WP,HB,Pct
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Borland,3,0,0,8.1,14,6,4,4,6,0,1,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Gillick,1,0,0,1.2,5,2,2,0,3,0,0,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Moore,2,0,0,0.2,4,3,2,0,2,0,0,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Dreamliners,Melton,2,0,1,4.1,7,5,5,4,0,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Lewis,3,2,0,11.2,3,1,1,5,8,3,0,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Hubbard,2,0,0,4.2,5,5,5,4,7,0,0,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Foss,2,0,0,5.2,6,3,3,1,7,0,0,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Davis,2,1,1,11.1,11,6,5,1,5,0,2,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,McLain,1,0,0,4.1,6,5,3,2,3,0,0,
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Gabler,1,0,1,3.1,8,2,0,1,2,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Yerrington (NV) Copper Kings,Doyle,1,0,1,7.0,4,4,3,1,4,0,0,
1966,1966 NBC player stats OCR.pdf,Yerrington (NV) Copper Kings,Foshee,2,0,0,4.0,6,4,4,5,2,0,0,
1966,1966 NBC player stats OCR.pdf,Yerrington (NV) Copper Kings,F. Dallimore,1,0,1,4.2,7,4,2,3,1,0,0,
1966,1966 NBC player stats OCR.pdf,Yerrington (NV) Copper Kings,Stephenson,1,0,0,0.1,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Corbyn Torti,2,1,1,13.0,16,9,8,6,16,0,1,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Alex Aleman,1,0,0,6.0,4,2,2,4,3,2,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Riley Fagan,2,0,0,1.0,1,5,5,5,2,1,1,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Diego Soto,3,0,0,4.0,4,5,5,5,1,1,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Layne Wilkerson,1,0,1,2.1,4,5,5,4,1,1,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Mikey Hearn,2,0,0,1.1,3,3,3,3,0,2,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Ty Smeal,1,0,0,1.1,4,4,4,1,0,0,0,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Zach Westbrook,1,0,0,0.2,5,4,4,2,0,1,1,
2023,2023_Final_team_stats.pdf,Arlington Baptist TX Patriots,Nathan Bardsley,2,0,1,0.2,2,4,4,2,0,1,2,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Zach Tjelmeland,2,1,0,7.0,8,7,6,3,11,0,1,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Braylon Owens,1,0,1,5.2,9,4,3,1,10,1,1,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,EJ Garcia,3,0,0,7.1,4,0,0,2,6,1,1,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Ryan Bailey,1,1,0,7.1,3,3,1,1,6,1,2,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Daniel Farrow,4,0,0,2.2,1,0,0,1,6,1,0,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,John Gonzales,1,1,0,5.2,4,0,0,3,4,1,1,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Davis Luikart,2,0,0,1.2,3,1,1,2,4,0,0,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Xander Hall,2,0,0,1.2,2,0,0,1,2,0,0,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Christian Okerholm,1,0,1,3.0,3,2,2,4,2,0,2,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Rodrick Black,1,0,0,1.0,0,0,0,0,0,0,0,
2023,2023_Final_team_stats.pdf,Austin Lonestar TX Baseball Club,Brandon Arvidson,1,0,0,1.0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Caleb Heuertz,2,1,0,9.2,4,1,1,4,12,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Justin Webster,2,1,1,8.2,7,7,5,4,5,1,4,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Bryce McCain,3,0,0,4.1,5,3,3,7,5,2,1,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Paul Rector,1,0,0,2.0,1,3,2,4,4,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Jalen Johnston,2,0,1,3.0,3,6,5,7,3,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Brandon Manaska,2,1,0,4.2,2,1,1,1,2,2,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Taylor Pendley,2,0,0,3.0,5,2,2,3,2,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Anthony Nelson,1,0,0,4.0,6,4,4,2,2,1,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Daniel Roberts,1,0,0,0.2,0,2,2,4,2,0,0,
2023,2023_Final_team_stats.pdf,Dallas Five Tool TX Kraken,Zachary Rowley,2,0,1,2.2,9,10,10,5,1,4,0,
