Year,SourcePDF,Team,Player,Pos,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Schomaker,c,5,17,2,9,1,0,1,0,0,7,49,2,1,0.529
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Davis,p,2,3,0,0,0,0,0,0,1,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Morris,lf,5,15,3,4,0,0,1,0,0,1,3,0,0,0.267
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Hubbard,p,2,3,0,2,0,0,0,0,0,0,0,2,0,0.667
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Foss,p,2,3,0,1,0,0,0,0,0,0,0,0,0,0.333
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Lewis,p,3,6,1,3,0,0,1,0,0,6,0,0,0,0.5
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Dillon,cf,2,3,0,1,0,0,0,0,0,0,0,0,0,0.333
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,McLain,p,1,2,1,0,0,0,0,0,0,0,0,2,0,0.0
1966,1966 NBC player stats OCR.pdf,Wichita (KS) Service Auto Glass,Gabler,p,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Hardiman,1b,4,17,4,8,1,1,1,0,0,3,37,1,0,0.471
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Deffenbaugh,rf,1,2,1,0,0,0,0,0,1,0,2,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Hays,cf,4,15,3,4,0,0,0,0,1,5,5,1,0,0.267
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Burdex,c,4,16,2,7,0,0,1,2,0,6,21,4,1,0.438
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Thompson,ss,4,15,1,3,0,0,0,0,0,2,12,13,1,0.2
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Davis,3b,4,13,1,0,0,0,0,0,0,0,3,10,1,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Hewitt,lf,4,11,3,0,0,0,0,2,2,0,8,1,1,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Blair,2b,4,13,3,3,0,0,0,0,2,2,8,16,2,0.231
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Lodes,rf-p,4,9,2,2,1,1,0,0,0,2,3,1,1,0.222
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Cheatwood,rf-lf,4,9,2,1,0,0,0,0,0,0,2,1,0,0.111
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Maxwell,p,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Ward,p,2,1,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Cassie,p,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Teeders,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Allan,p,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Renfrow,cf,4,11,0,1,0,0,0,1,0,0,5,1,0,0.091
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Lamm,rf,4,14,0,2,0,0,0,0,2,0,2,0,0,0.143
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Jackson,2b,4,17,1,2,0,0,0,0,1,1,13,16,3,0.118
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Bullard,lf,4,12,3,3,0,0,1,1,0,1,2,1,2,0.25
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Sasser,ss,4,13,1,3,1,0,0,0,1,0,7,11,5,0.231
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Morris,1b,4,9,2,1,0,0,0,0,0,0,34,0,1,0.111
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Cashion,3b,4,14,2,5,0,1,1,0,1,4,4,11,3,0.357
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Scott,c,4,14,0,2,0,0,0,0,1,0,31,3,0,0.143
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Stephenson,p,3,6,1,2,0,0,0,0,2,0,1,6,0,0.333
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Smith,nan,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Askew,nan,2,2,0,1,0,0,0,0,0,0,0,6,0,0.5
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Weaver,1b,1,1,0,0,0,0,0,0,1,0,6,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Stone,p,1,2,0,1,0,1,0,0,0,1,0,3,2,0.5
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Ellen,p,1,2,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Mueller,cf,4,12,1,3,1,0,0,2,0,2,12,1,0,0.25
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Berezowitz,c-3b,4,14,1,0,0,0,0,0,0,0,8,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Morzenti,1b,4,13,2,1,0,0,0,0,0,0,26,0,1,0.077
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Brzenk,ss,4,13,2,1,0,0,0,0,0,0,4,15,0,0.077
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Williamson,2b,4,13,3,2,0,0,0,2,0,1,9,5,1,0.154
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Tarrolly,rf,4,14,3,5,1,0,1,1,0,5,3,1,0,0.357
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Kaminski,lf,4,11,2,4,1,0,0,2,1,2,8,1,8,0.364
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Setzer,c,3,10,1,2,1,0,0,0,0,1,20,0,1,0.2
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Starck,p,3,3,0,1,0,0,0,0,0,0,0,5,0,0.333
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Byrd,p,1,3,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Peterson,p,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Hetzel,3b,1,4,0,1,0,0,0,0,0,1,1,2,0,0.25
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Shebesta,p,1,3,0,0,0,0,0,0,0,0,0,3,0,0.0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Bennett,p,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Cruz,cf,4,15,3,2,0,0,1,0,0,3,4,0,1,0.133
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Monzon,3b,4,12,4,1,0,0,0,2,0,1,2,7,2,0.083
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Ryan,2b,4,17,2,3,0,0,0,6,0,1,5,10,1,0.176
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Yawn,1b,4,15,3,4,2,0,1,0,0,3,37,4,3,0.267
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Griffith,lf,4,12,4,2,0,0,1,0,0,4,5,1,1,0.167
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Matthews,rf,4,15,3,3,0,0,0,1,0,1,9,0,0,0.2
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,J. Henderson,c,4,14,2,1,0,0,0,0,0,1,27,1,0,0.071
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Cain,ss,4,11,2,0,0,0,0,0,1,2,4,12,4,0.0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Hammett,p,2,3,0,0,0,0,0,0,1,0,1,4,0,0.0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Toomey,p,2,1,0,0,0,0,0,0,1,0,1,2,0,0.0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Newkirk,p,3,1,0,0,0,0,0,0,1,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Johnson,p,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Alsup,3b,2,4,0,1,0,0,0,0,1,1,2,2,0,0.25
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Bethune,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Vincent,p,2,0,0,0,0,0,0,0,0,0,1,2,0,0.0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Bizzo,nan,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
