Year,SourcePDF,Team,Player,Pos,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
1940,1940_Top_10_OCR.pdf,Wichita,Hobein,p,1,3,1,1,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Wichita,Burtner,2b,5,19,5,5,,,,,,,,,,0.263
1940,1940_Top_10_OCR.pdf,Wichita,Lockett,rf,4,9,4,2,,,,,,,,,,0.222
1940,1940_Top_10_OCR.pdf,Wichita,Funk,cf,4,14,2,3,,,,,,,,,,0.211
1940,1940_Top_10_OCR.pdf,Wichita,Brady,p,2,5,2,1,,,,,,,,,,0.2
1940,1940_Top_10_OCR.pdf,Wichita,Meadows,p,2,5,1,1,,,,,,,,,,0.2
1940,1940_Top_10_OCR.pdf,Wichita,Nance,rf,4,11,0,2,,,,,,,,,,0.182
1940,1940_Top_10_OCR.pdf,Wichita,Bates,c,5,18,3,3,,,,,,,,,,0.167
1940,1940_Top_10_OCR.pdf,Wichita,Peddicord,3b,5,17,3,2,,,,,,,,,,0.118
,,,,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Worcester,Lendo,ss-2b-p,4,12,2,7,,,,,,,,,,0.583
1940,1940_Top_10_OCR.pdf,Worcester,Gnuch,p,1,2,0,1,,,,,,,,,,0.5
1940,1940_Top_10_OCR.pdf,Worcester,Maneral,cf,5,19,4,9,,,,,,,,,,0.474
1940,1940_Top_10_OCR.pdf,Worcester,Nylander,ss,3,10,4,3,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Worcester,Almand,c,3,9,1,3,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Worcester,Scrivone,3b,5,25,4,8,,,,,,,,,,0.32
1940,1940_Top_10_OCR.pdf,Worcester,Balsavich,lf,5,19,2,6,,,,,,,,,,0.316
1940,1940_Top_10_OCR.pdf,Worcester,Piurek,2b,4,14,2,3,,,,,,,,,,0.214
1940,1940_Top_10_OCR.pdf,Worcester,Myllykangas,p,2,5,1,1,,,,,,,,,,0.2
1940,1940_Top_10_OCR.pdf,Worcester,Dowd,lf,2,5,0,1,,,,,,,,,,0.2
1940,1940_Top_10_OCR.pdf,Worcester,Mahoney,lf,5,15,4,2,,,,,,,,,,0.133
1940,1940_Top_10_OCR.pdf,Worcester,Karpoe,rf,5,14,2,1,,,,,,,,,,0.071
,,,,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,James,1b,2,3,0,1,0,0,0,0,0,0,3,0,0,0.333
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,R. Page,ss,2,4,1,1,0,0,0,0,1,0,1,1,1,0.25
